algo,impl,N,workers,iter,seconds,pi
dart,fork,80000000,1,4,0.622369,3.141640600
dart,fork,80000000,1,5,0.624286,3.141640600
dart,fork,80000000,2,1,0.323327,3.141871350
dart,fork,80000000,2,2,0.325541,3.141871350
dart,fork,80000000,2,3,0.321280,3.141871350
dart,fork,80000000,2,4,0.321094,3.141871350
dart,fork,80000000,2,5,0.321290,3.141871350
dart,fork,80000000,4,1,0.167852,3.141810850
dart,fork,80000000,4,2,0.167285,3.141810850
dart,fork,80000000,4,3,0.170032,3.141810850
dart,fork,80000000,4,4,0.166219,3.141810850
dart,fork,80000000,4,5,0.166625,3.141810850
dart,fork,80000000,8,1,0.089529,3.141604700
dart,fork,80000000,8,2,0.089664,3.141604700
dart,fork,80000000,8,3,0.088579,3.141604700
dart,fork,80000000,8,4,0.090472,3.141604700
dart,fork,80000000,8,5,0.090757,3.141604700
dart,fork,80000000,16,1,0.071568,3.141934350
dart,fork,80000000,16,2,0.072081,3.141934350
dart,fork,80000000,16,3,0.058082,3.141934350
dart,fork,80000000,16,4,0.070964,3.141934350
dart,fork,80000000,16,5,0.071330,3.141934350
dart,fork,200000000,1,1,1.557068,3.141792440
dart,fork,200000000,1,2,1.564238,3.141792440
dart,fork,200000000,1,3,1.550556,3.141792440
dart,fork,200000000,1,4,1.563142,3.141792440
dart,fork,200000000,1,5,0.215845,3.141792440
dart,fork,200000000,2,1,0.800178,3.141686840
dart,fork,200000000,2,2,0.779243,3.141686840
dart,fork,200000000,2,3,0.783152,3.141686840
dart,fork,200000000,2,4,0.793112,3.141686840
dart,fork,200000000,2,5,0.785311,3.141686840
dart,fork,200000000,4,1,0.402239,3.141707480
dart,fork,200000000,4,2,0.405238,3.141707480
dart,fork,200000000,4,3,0.397089,3.141707480
dart,fork,200000000,4,4,0.406357,3.141707480
dart,fork,200000000,4,5,0.401329,3.141707480
dart,fork,200000000,8,1,0.209228,3.141602420
dart,fork,200000000,8,2,0.211203,3.141602420
dart,fork,200000000,8,3,0.212038,3.141602420
dart,fork,200000000,8,4,0.209291,3.141602420
dart,fork,200000000,8,5,0.208803,3.141602420
dart,fork,200000000,16,1,0.133280,3.141520500
dart,fork,200000000,16,2,0.146846,3.141520500
dart,fork,200000000,16,3,0.148956,3.141520500
dart,fork,200000000,16,4,0.172431,3.141520500
dart,fork,200000000,16,5,0.157168,3.141520500
dart,fork,400000000,1,1,3.069498,3.141689700
dart,fork,400000000,1,2,3.123550,3.141689700
dart,fork,400000000,1,3,3.087104,3.141689700
dart,fork,400000000,1,4,3.127935,3.141689700
dart,fork,400000000,1,5,3.107981,3.141689700
dart,fork,400000000,2,1,1.566503,3.141737310
dart,fork,400000000,2,2,1.579324,3.141737310
dart,fork,400000000,2,3,1.559176,3.141737310
dart,fork,400000000,2,4,1.586345,3.141737310
dart,fork,400000000,2,5,0.010283,3.141737310
dart,fork,400000000,4,1,0.812468,3.141626220
dart,fork,400000000,4,2,0.795332,3.141626220
dart,fork,400000000,4,3,0.799057,3.141626220
dart,fork,400000000,4,4,0.796003,3.141626220
dart,fork,400000000,4,5,0.796158,3.141626220
dart,fork,400000000,8,1,0.407786,3.141604080
dart,fork,400000000,8,2,0.407660,3.141604080
dart,fork,400000000,8,3,0.411767,3.141604080
dart,fork,400000000,8,4,0.411264,3.141604080
dart,fork,400000000,8,5,0.406750,3.141604080
dart,fork,400000000,16,1,0.283468,3.141570210
dart,fork,400000000,16,2,0.260158,3.141570210
dart,fork,400000000,16,3,0.273331,3.141570210
dart,fork,400000000,16,4,0.259996,3.141570210
dart,fork,400000000,16,5,0.250831,3.141570210
dart,fork,800000000,1,1,6.155376,3.141648020
dart,fork,800000000,1,2,6.185527,3.141648020
