algo,impl,N,workers,avg_seconds,avg_pi,runs
needle,fork,800000000,2,18.577770,3.141589125,5
needle,omp,800000000,2,18.612548,3.141589125,5
needle,threads,800000000,2,18.419348,3.141589125,5
needle,fork,800000000,4,9.566384,3.141588619,5
needle,omp,800000000,4,9.359064,3.141588619,5
needle,threads,800000000,4,9.659447,3.141588619,5
needle,fork,800000000,8,4.773511,3.141405290,5
needle,omp,800000000,8,4.915604,3.141405290,5
needle,threads,800000000,8,4.764716,3.141405290,5
needle,fork,800000000,16,2.663894,3.141346056,5
needle,omp,800000000,16,2.757509,3.141346056,5
needle,threads,800000000,16,3.016372,3.141346056,5
needle,fork,1600000000,1,66.113360,3.141626993,5
needle,omp,1600000000,1,74.049882,3.141626993,5
needle,serial,1600000000,1,73.823603,3.141610912,5
needle,threads,1600000000,1,73.437938,3.141626993,5
needle,fork,1600000000,2,30.305432,3.141679434,5
needle,omp,1600000000,2,37.316046,3.141679434,5
needle,threads,1600000000,2,37.633467,3.141679434,5
needle,fork,1600000000,4,18.682469,3.141576923,5
needle,omp,1600000000,4,18.873472,3.141576923,5
needle,threads,1600000000,4,19.135441,3.141576923,5
needle,fork,1600000000,8,9.829676,3.141592382,5
needle,omp,1600000000,8,9.471771,3.141592382,5
needle,threads,1600000000,8,9.595102,3.141592382,5
needle,fork,1600000000,16,6.332957,3.141462904,5
needle,omp,1600000000,16,5.672571,3.141462904,5
needle,threads,1600000000,16,6.129536,3.141462904,5
