impl,size,workers,iter,seconds
openmp_blocked,400,16,9,0.01
openmp_bt,400,16,10,0.01
openmp_blocked,400,16,10,0.01
openmp_bt,400,32,1,0.02
openmp_blocked,400,32,1,0.01
openmp_bt,400,32,2,0.01
openmp_blocked,400,32,2,0.01
openmp_bt,400,32,3,0.01
openmp_blocked,400,32,3,0.01
openmp_bt,400,32,4,0.01
openmp_blocked,400,32,4,0.01
openmp_bt,400,32,5,0.01
openmp_blocked,400,32,5,0.01
openmp_bt,400,32,6,0.01
openmp_blocked,400,32,6,0.01
openmp_bt,400,32,7,0.01
openmp_blocked,400,32,7,0.01
openmp_bt,400,32,8,0.01
openmp_blocked,400,32,8,0.02
openmp_bt,400,32,9,0.01
openmp_blocked,400,32,9,0.01
openmp_bt,400,32,10,0.01
openmp_blocked,400,32,10,0.02
openmp_bt,800,1,1,0.09
openmp_blocked,800,1,1,0.08
openmp_bt,800,1,2,0.09
openmp_blocked,800,1,2,0.08
openmp_bt,800,1,3,0.09
openmp_blocked,800,1,3,0.08
openmp_bt,800,1,4,0.08
openmp_blocked,800,1,4,0.08
openmp_bt,800,1,5,0.08
openmp_blocked,800,1,5,0.08
openmp_bt,800,1,6,0.08
openmp_blocked,800,1,6,0.08
openmp_bt,800,1,7,0.08
openmp_blocked,800,1,7,0.08
openmp_bt,800,1,8,0.08
openmp_blocked,800,1,8,0.08
openmp_bt,800,1,9,0.08
openmp_blocked,800,1,9,0.08
openmp_bt,800,1,10,0.08
openmp_blocked,800,1,10,0.08
openmp_bt,800,2,1,0.06
openmp_blocked,800,2,1,0.06
openmp_bt,800,2,2,0.06
openmp_blocked,800,2,2,0.06
openmp_bt,800,2,3,0.06
openmp_blocked,800,2,3,0.06
openmp_bt,800,2,4,0.06
openmp_blocked,800,2,4,0.06
openmp_bt,800,2,5,0.05
openmp_blocked,800,2,5,0.06
openmp_bt,800,2,6,0.07
openmp_blocked,800,2,6,0.06
openmp_bt,800,2,7,0.05
openmp_blocked,800,2,7,0.06
openmp_bt,800,2,8,0.05
openmp_blocked,800,2,8,0.06
openmp_bt,800,2,9,0.06
